x,y,z,alphabet
-0.91259768,0.16455078,-0.183349616,A
-0.90844728,0.1904297,-0.206298832,A
-0.92333984,0.18652344,-0.17773438,A
-0.9494629,0.17919922,-0.16577148,A
-0.9519043,0.17944336,-0.15161133,A
-0.936035136,0.17749024,-0.1459961,A
-0.9445801,0.17822266,-0.15307617,A
-0.9333496,0.18115234,-0.17822266,A
-0.923584,0.16088867,-0.17114258,A
-0.938964864,0.15576172,-0.175292976,A
-0.93774416,0.15844726,-0.18774414,A
-0.9328613,0.13720703,-0.17163086,A
-0.9350586,0.13305664,-0.17333984,A
-0.9289551,0.14086914,-0.17260742,A
-0.93115232,0.14086914,-0.16625976,A
-0.9313965,0.168457032,-0.17358398,A
-0.9289551,0.18139648,-0.17456054,A
-0.93359376,0.18945312,-0.171875,A
-0.9367676,0.18701172,-0.176025392,A
-0.92944332,0.1862793,-0.192138668,A
-0.9277344,0.16992188,-0.1772461,A
-0.9448242,0.1784668,-0.18017578,A
-0.93481448,0.14331054,-0.18530274,A
-0.9301758,0.1430664,-0.18164062,A
-0.9460449,0.12792969,-0.1616211,A
-0.949218736,0.1328125,-0.16333008,A
-0.9421387,0.14746094,-0.15625,A
-0.9477539,0.14624024,-0.15478516,A
-0.9404297,0.15478516,-0.1574707,A
-0.9301758,0.16503906,-0.171875,A
-0.934082064,0.18237304,-0.17236328,A
-0.9238281,0.16723633,-0.17236328,A
-0.93237304,0.16381836,-0.18798828,A
-0.9223633,0.16015625,-0.183105468,A
-0.93725584,0.14697266,-0.175292976,A
-0.9375,0.14428711,-0.16723633,A
-0.952148432,0.14697266,-0.17260742,A
-0.9370117,0.13647461,-0.1706543,A
-0.9436035,0.14111328,-0.16992188,A
-0.953125,0.14428711,-0.15893554,A
-0.936035136,0.14453125,-0.16015625,A
-0.92944332,0.15161133,-0.17382812,A
-0.9309082,0.15722656,-0.17773438,A
-0.9436035,0.16455078,-0.176513668,A
-0.94873048,0.168457032,-0.16625976,A
-0.936035136,0.15917969,-0.15942383,A
-0.93847656,0.1574707,-0.1628418,A
-0.94628904,0.15478516,-0.1652832,A
-0.9436035,0.16088867,-0.1694336,A
-0.936035136,0.16015625,-0.167968752,A
-0.9440918,0.14672852,-0.16113281,A
-0.91967776,0.14624024,-0.17407226,A
-0.911865232,0.16967774,-0.20166016,A
-0.91845704,0.16674804,-0.183593744,A
-0.92407224,0.1586914,-0.16308594,A
-0.94018552,0.16455078,-0.176757808,A
-0.9313965,0.176025392,-0.17333984,A
-0.92407224,0.15966797,-0.17382812,A
-0.936035136,0.1616211,-0.1784668,A
-0.936035136,0.1550293,-0.16992188,A
-0.9423828,0.14819336,-0.16186524,A
-0.93969732,0.15625,-0.16503906,A
-0.9382324,0.1550293,-0.1640625,A
-0.9423828,0.15429688,-0.1706543,A
-0.9326172,0.15991211,-0.17138672,A
-0.9321289,0.16259766,-0.18237304,A
-0.9394531,0.16992188,-0.1706543,A
-0.936035136,0.15649414,-0.16625976,A
-0.931884736,0.14819336,-0.1652832,A
-0.9499512,0.15185547,-0.17285156,A
-0.9416504,0.15258789,-0.16503906,A
-0.9406738,0.15234375,-0.17333984,A
-0.93359376,0.14916992,-0.16577148,A
-0.9519043,0.14233398,-0.16015625,A
-0.9338379,0.14624024,-0.1652832,A
-0.93774416,0.14819336,-0.17236328,A
-0.9350586,0.14624024,-0.17260742,A
-0.9316406,0.13842774,-0.1809082,A
-0.9370117,0.1274414,-0.17138672,A
-0.9399414,0.11230469,-0.15820312,A
-0.9316406,0.12426758,-0.16479492,A
-0.9416504,0.13354492,-0.17016602,A
-0.9404297,0.13427734,-0.17456054,A
-0.9382324,0.1328125,-0.17333984,A
-0.9355469,0.13012696,-0.17236328,A
-0.938964864,0.13720703,-0.18139648,A
-0.94677736,0.13720703,-0.176757808,A
