A - 'Thumb Up', 'Index Down', 'Middle Down', 'Ring Down', 'Pinky Down'
B - 'Thumb Half', 'Index Up', 'Middle Up', 'Ring Up', 'Pinky Up'
C - 'Thumb Up', 'Index Half', 'Middle Half', 'Ring Half', 'Pinky Half'
D - 'Thumb Half', 'Index Up', 'Middle Down', 'Ring Down', 'Pinky Down'
E - 'Thumb Half', 'Index Half', 'Middle Half', 'Ring Half', 'Pinky Half'
F - 'Thumb Half', 'Index Half', 'Middle Up', 'Ring Up', 'Pinky Up'
G - 'Thumb Up', 'Index Down', 'Middle Down', 'Ring Half', 'Pinky Up' - E 
H - 'Thumb Down', 'Index Half', 'Middle Half', 'Ring Down', 'Pinky Down'
I - 'Thumb Up', 'Index Down', 'Middle Down', 'Ring Down', 'Pinky Up'
J - 'Thumb Up', 'Index Down', 'Middle Half', 'Ring Half', 'Pinky Up' - E
K - 'Thumb Up', 'Index Up', 'Middle Up', 'Ring Down', 'Pinky Down'
L - 'Thumb Up', 'Index Up', 'Middle Down', 'Ring Down', 'Pinky Down'
M - 'Thumb Half', 'Index Up', 'Middle Up', 'Ring Down', 'Pinky Up' - E
N - 'Thumb Half', 'Index Up', 'Middle Down', 'Ring Half', 'Pinky Up' - E
O - 'Thumb Down', 'Index Down', 'Middle Down', 'Ring Down', 'Pinky Up' - E
P - 'Thumb Up', 'Index Up', 'Middle Down', 'Ring Half', 'Pinky Up' - E
Q - 'Thumb Half', 'Index Down', 'Middle Down', 'Ring Half', 'Pinky Up' - E
R - 'Thumb Down', 'Index Up', 'Middle Up', 'Ring Down', 'Pinky Down'
S - 'Thumb Half', 'Index Half', 'Middle Half', 'Ring Down', 'Pinky Down' - E
T - 'Thumb Up', 'Index Half', 'Middle Down', 'Ring Down', 'Pinky Down' - E
U - 'Thumb Half', 'Index Up', 'Middle Up', 'Ring Down', 'Pinky Down' - E
V - 'Thumb Up', 'Index Down', 'Middle Up', 'Ring Down', 'Pinky Up' - E
W - 'Thumb Half', 'Index Up', 'Middle Up', 'Ring Up', 'Pinky Down' 
X - 'Thumb Half', 'Index Half', 'Middle Down', 'Ring Down', 'Pinky Down'
Y - 'Thumb Up', 'Index Up', 'Middle Down', 'Ring Down', 'Pinky Up'
Z - 'Thumb Up', 'Index Up', 'Middle Up', 'Ring Down', 'Pinky Up' - E


HELP - 'Thumb Half', 'Index Down', 'Middle Up', 'Ring Up', 'Pinky Up' - E
PAIN - 'Thumb Down', 'Index Up', 'Middle Half', 'Ring Up', 'Pinky Down' - E 
AMBULANCE - 'Thumb Down', 'Index Half', 'Middle Up', 'Ring Up', 'Pinky Half' - E
STOP - 'Thumb Down', 'Index Up', 'Middle Up', 'Ring Half', 'Pinky Half' - E
REPEAT - 'Thumb Down', 'Index Up', 'Middle Half', 'Ring Up', 'Pinky Half' - E
DANGER - 'Thumb Down', 'Index Half', 'Middle Half', 'Ring Up', 'Pinky Up' - E
WATER - 'Thumb Down', 'Index Down', 'Middle Half', 'Ring Up', 'Pinky Half' - E
HUNGRY - 'Thumb Down', 'Index Down', 'Middle Up', 'Ring Half', 'Pinky Half' - E
MEDICINE - 'Thumb Down', 'Index Half', 'Middle Down', 'Ring Up', 'Pinky Up' - E
BATHROOM - 'Thumb Down', 'Index Up', 'Middle Down', 'Ring Up', 'Pinky Half' - E
POLICE - 'Thumb Down', 'Index Half', 'Middle Up', 'Ring Half', 'Pinky Up' - E
YES - 'Thumb Down', 'Index Down', 'Middle Half', 'Ring Half', 'Pinky Up' - E
NO - 'Thumb Down', 'Index Down', 'Middle Up', 'Ring Down', 'Pinky Half' - E
WAIT - 'Thumb Down', 'Index Up', 'Middle Half', 'Ring Half', 'Pinky Up' - E
COME - 'Thumb Down', 'Index Half', 'Middle Up', 'Ring Down', 'Pinky Up' - E
GO - 'Thumb Down', 'Index Up', 'Middle Up', 'Ring Half', 'Pinky Down' - E
THANK YOU - 'Thumb Down', 'Index Half', 'Middle Down', 'Ring Half', 'Pinky Up' - E
SORRY - 'Thumb Down', 'Index Half', 'Middle Up', 'Ring Half', 'Pinky Half' - E
OK - 'Thumb Down', 'Index Half', 'Middle Half', 'Ring Up', 'Pinky Half' - E
EMERGENCY - 'Thumb Half', 'Index Down', 'Middle Up', 'Ring Down', Pinky Up' -E 
